[Header]\r\n[Footer]\r\n[Header]\r\n[Footer]\r\n[Header]\r\n2013-12-11 15:13:30,588 [11] DEBUG BWCMAPI.Global api request = /yada
2013-12-11 15:13:34,575 [9] DEBUG BWCMAPI.Global api request = 
[Footer]\r\n2013-12-11 15:14:11,194 [9] DEBUG BWCMAPI.Global api request = 
2013-12-11 15:14:14,454 [6] DEBUG BWCMAPI.Global api request = 
2013-12-11 15:14:21,374 [12] DEBUG BWCMAPI.Global api request = /yada
2013-12-11 15:15:29,185 [10] DEBUG BWCMAPI.Global api request = %2fapi%2fyada
2013-12-11 15:16:31,806 [4] DEBUG BWCMAPI.Global api request = /api/yada
2013-12-11 15:16:49,808 [9] DEBUG BWCMAPI.Global api request = yada
2013-12-11 15:24:16,723 [13] DEBUG BWCMAPI.Global api request = /yada
2013-12-11 15:24:20,563 [4] DEBUG BWCMAPI.Global api request = /users
2013-12-11 15:26:15,404 [6] DEBUG BWCMAPI.Global api request = /users
2013-12-11 15:26:22,727 [13] DEBUG BWCMAPI.Global api request = /users2
2013-12-11 15:29:41,393 [12] DEBUG BWCMAPI.Global api request = /users2
2013-12-11 15:29:43,668 [13] DEBUG BWCMAPI.Global api request = /users
2013-12-11 15:30:24,754 [12] DEBUG BWCMAPI.Global api request = /users
2013-12-11 15:35:53,082 [12] DEBUG BWCMAPI.Global api request = /users
2013-12-11 15:52:00,468 [13] DEBUG BWCMAPI.Global api request = /users
2013-12-11 15:52:05,291 [9] DEBUG BWCMAPI.Global checkpoint
2013-12-11 15:52:08,047 [12] DEBUG BWCMAPI.Global api request = /touch
2013-12-11 15:52:10,300 [9] DEBUG BWCMAPI.Global checkpoint
2013-12-11 15:52:15,301 [13] DEBUG BWCMAPI.Global checkpoint
2013-12-11 15:52:20,309 [9] DEBUG BWCMAPI.Global checkpoint
2013-12-11 15:52:25,317 [9] DEBUG BWCMAPI.Global checkpoint
2013-12-11 15:52:30,325 [12] DEBUG BWCMAPI.Global checkpoint
2013-12-11 15:52:35,333 [10] DEBUG BWCMAPI.Global checkpoint
2013-12-11 15:52:40,339 [10] DEBUG BWCMAPI.Global checkpoint
2013-12-11 15:52:45,350 [9] DEBUG BWCMAPI.Global checkpoint
2013-12-11 15:52:50,355 [9] DEBUG BWCMAPI.Global checkpoint
2013-12-11 15:52:55,363 [10] DEBUG BWCMAPI.Global checkpoint
2013-12-11 15:55:19,137 [5] DEBUG BWCMAPI.Global startup
2013-12-11 15:55:19,431 [5] DEBUG BWCMAPI.Global api request = /users
2013-12-11 15:55:24,142 [5] DEBUG BWCMAPI.Global checkpoint
2013-12-11 15:55:29,151 [5] DEBUG BWCMAPI.Global checkpoint
2013-12-11 15:55:34,159 [4] DEBUG BWCMAPI.Global checkpoint
2013-12-11 15:55:39,168 [4] DEBUG BWCMAPI.Global checkpoint
2013-12-11 15:55:44,172 [15] DEBUG BWCMAPI.Global checkpoint
2013-12-11 15:55:49,178 [14] DEBUG BWCMAPI.Global checkpoint
2013-12-11 15:55:54,186 [13] DEBUG BWCMAPI.Global checkpoint
2013-12-11 15:55:59,197 [13] DEBUG BWCMAPI.Global checkpoint
2013-12-11 15:56:04,202 [4] DEBUG BWCMAPI.Global checkpoint
